date,az_vibration_ms2.value
11/27/2025 5:07:54.931000000 PM,-0.928950244140625
11/27/2025 5:07:54.970000000 PM,-1.1875240234375
11/27/2025 5:07:55.013000000 PM,-1.1109095703125
11/27/2025 5:07:55.052000000 PM,-1.177947216796875
11/27/2025 5:07:55.094000000 PM,-1.43652099609375
11/27/2025 5:07:55.138000000 PM,-1.139639990234375
11/27/2025 5:07:55.178000000 PM,-1.0630255371093749
11/27/2025 5:07:55.220000000 PM,-1.2737152832031249
11/27/2025 5:07:55.263000000 PM,-0.9097966308593749
11/27/2025 5:07:55.302000000 PM,-1.0534487304687499
11/27/2025 5:07:55.347000000 PM,-1.139639990234375
11/27/2025 5:07:55.385000000 PM,-0.718260498046875
11/27/2025 5:07:55.427000000 PM,-0.7948749511718749
11/27/2025 5:07:55.471000000 PM,-1.3120225097656248
11/27/2025 5:07:55.510000000 PM,-1.16837041015625
11/27/2025 5:07:55.552000000 PM,-0.9002198242187499
11/27/2025 5:07:55.597000000 PM,-1.3311761230468748
11/27/2025 5:07:55.636000000 PM,-1.0630255371093749
11/27/2025 5:07:55.679000000 PM,-0.9576806640625
11/27/2025 5:07:55.719000000 PM,-1.2641384765625
11/27/2025 5:07:55.761000000 PM,-0.55545478515625
11/27/2025 5:07:55.805000000 PM,-0.7852981445312499
11/27/2025 5:07:55.843000000 PM,-1.5801730957031248
11/27/2025 5:07:55.885000000 PM,-1.20667763671875
11/27/2025 5:07:55.924000000 PM,-1.0821791503906248
11/27/2025 5:07:55.966000000 PM,-1.0534487304687499
11/27/2025 5:07:56.007000000 PM,-0.59376201171875
11/27/2025 5:07:56.047000000 PM,-1.2928688964843749
11/27/2025 5:07:56.089000000 PM,-1.5705962890624998
11/27/2025 5:07:56.132000000 PM,-0.9097966308593749
11/27/2025 5:07:56.171000000 PM,-0.9959878906249999
11/27/2025 5:07:56.213000000 PM,-1.158793603515625
11/27/2025 5:07:56.252000000 PM,-0.842758984375
11/27/2025 5:07:56.294000000 PM,-1.22583125
11/27/2025 5:07:56.336000000 PM,-1.2832920898437499
11/27/2025 5:07:56.378000000 PM,-0.9576806640625
11/27/2025 5:07:56.421000000 PM,-1.20667763671875
11/27/2025 5:07:56.464000000 PM,-1.0821791503906248
11/27/2025 5:07:56.505000000 PM,-0.97683427734375
11/27/2025 5:07:56.547000000 PM,-1.24498486328125
11/27/2025 5:07:56.587000000 PM,-1.0438719238281249
11/27/2025 5:07:56.629000000 PM,-0.7757213378906249
11/27/2025 5:07:56.671000000 PM,-1.369483349609375
11/27/2025 5:07:56.710000000 PM,-1.158793603515625
11/27/2025 5:07:56.753000000 PM,-0.93852705078125
11/27/2025 5:07:56.801000000 PM,-1.0438719238281249
11/27/2025 5:07:56.841000000 PM,-0.9576806640625
11/27/2025 5:07:56.883000000 PM,-1.235408056640625
11/27/2025 5:07:56.927000000 PM,-1.2737152832031249
11/27/2025 5:07:56.969000000 PM,-0.9576806640625
11/27/2025 5:07:57.010000000 PM,-0.928950244140625
11/27/2025 5:07:57.051000000 PM,-1.0534487304687499
11/27/2025 5:07:57.093000000 PM,-1.177947216796875
11/27/2025 5:07:57.131000000 PM,-1.0821791503906248
11/27/2025 5:07:57.174000000 PM,-1.01514150390625
11/27/2025 5:07:57.215000000 PM,-1.01514150390625
11/27/2025 5:07:57.254000000 PM,-1.0438719238281249
11/27/2025 5:07:57.296000000 PM,-1.1875240234375
11/27/2025 5:07:57.338000000 PM,-1.120486376953125
11/27/2025 5:07:57.379000000 PM,-0.9097966308593749
11/27/2025 5:07:57.421000000 PM,-1.0917559570312498
11/27/2025 5:07:57.460000000 PM,-1.0917559570312498
11/27/2025 5:07:57.502000000 PM,-1.216254443359375
11/27/2025 5:07:57.544000000 PM,-1.0821791503906248
11/27/2025 5:07:57.583000000 PM,-1.1013327636718748
11/27/2025 5:07:57.634000000 PM,-1.005564697265625
11/27/2025 5:07:57.677000000 PM,-1.149216796875
11/27/2025 5:07:57.717000000 PM,-1.13006318359375
11/27/2025 5:07:57.758000000 PM,-1.024718310546875
11/27/2025 5:07:57.798000000 PM,-1.024718310546875
11/27/2025 5:07:57.842000000 PM,-1.1013327636718748
11/27/2025 5:07:57.885000000 PM,-1.1109095703125
11/27/2025 5:07:57.924000000 PM,-1.0917559570312498
11/27/2025 5:07:57.969000000 PM,-1.1013327636718748
11/27/2025 5:07:58.011000000 PM,-1.0821791503906248
11/27/2025 5:07:58.051000000 PM,-1.0630255371093749
11/27/2025 5:07:58.094000000 PM,-1.158793603515625
11/27/2025 5:07:58.132000000 PM,-1.0726023437499999
11/27/2025 5:07:58.177000000 PM,-1.01514150390625
11/27/2025 5:07:58.220000000 PM,-1.197100830078125
11/27/2025 5:07:58.259000000 PM,-1.0534487304687499
11/27/2025 5:07:58.301000000 PM,-1.0534487304687499
11/27/2025 5:07:58.344000000 PM,-1.139639990234375
11/27/2025 5:07:58.384000000 PM,-0.9864110839843749
11/27/2025 5:07:58.425000000 PM,-1.0821791503906248
11/27/2025 5:07:58.464000000 PM,-1.0438719238281249
11/27/2025 5:07:58.507000000 PM,-1.005564697265625
11/27/2025 5:07:58.549000000 PM,-1.22583125
