date,gy_vibration_g.value
11/27/2025 5:07:54.948000000 PM,0.9951171875
11/27/2025 5:07:54.987000000 PM,0.9990234375
11/27/2025 5:07:55.030000000 PM,1.037109375
11/27/2025 5:07:55.072000000 PM,1.001953125
11/27/2025 5:07:55.112000000 PM,0.96875
11/27/2025 5:07:55.155000000 PM,0.9931640625
11/27/2025 5:07:55.198000000 PM,1.0185546875
11/27/2025 5:07:55.238000000 PM,0.955078125
11/27/2025 5:07:55.280000000 PM,1.015625
11/27/2025 5:07:55.320000000 PM,1.068359375
11/27/2025 5:07:55.364000000 PM,1.0009765625
11/27/2025 5:07:55.405000000 PM,0.998046875
11/27/2025 5:07:55.444000000 PM,1.0419921875
11/27/2025 5:07:55.489000000 PM,0.990234375
11/27/2025 5:07:55.531000000 PM,0.9892578125
11/27/2025 5:07:55.572000000 PM,1.01171875
11/27/2025 5:07:55.614000000 PM,0.9892578125
11/27/2025 5:07:55.654000000 PM,1.0009765625
11/27/2025 5:07:55.697000000 PM,1.0498046875
11/27/2025 5:07:55.740000000 PM,1.017578125
11/27/2025 5:07:55.778000000 PM,1.005859375
11/27/2025 5:07:55.822000000 PM,1.009765625
11/27/2025 5:07:55.863000000 PM,0.9794921875
11/27/2025 5:07:55.902000000 PM,1.0107421875
11/27/2025 5:07:55.944000000 PM,1.0419921875
11/27/2025 5:07:55.983000000 PM,1.0087890625
11/27/2025 5:07:56.025000000 PM,1.0068359375
11/27/2025 5:07:56.068000000 PM,1.00390625
11/27/2025 5:07:56.107000000 PM,0.9970703125
11/27/2025 5:07:56.150000000 PM,1.0068359375
11/27/2025 5:07:56.188000000 PM,1.013671875
11/27/2025 5:07:56.230000000 PM,1.015625
11/27/2025 5:07:56.273000000 PM,1.0068359375
11/27/2025 5:07:56.312000000 PM,1.005859375
11/27/2025 5:07:56.354000000 PM,1.00390625
11/27/2025 5:07:56.399000000 PM,1.00390625
11/27/2025 5:07:56.439000000 PM,1.01171875
11/27/2025 5:07:56.483000000 PM,1.009765625
11/27/2025 5:07:56.523000000 PM,1.0029296875
11/27/2025 5:07:56.564000000 PM,1.0166015625
11/27/2025 5:07:56.608000000 PM,0.9775390625
11/27/2025 5:07:56.646000000 PM,1.00390625
11/27/2025 5:07:56.688000000 PM,1.0048828125
11/27/2025 5:07:56.731000000 PM,1.0107421875
11/27/2025 5:07:56.776000000 PM,1.021484375
11/27/2025 5:07:56.819000000 PM,1.00390625
11/27/2025 5:07:56.858000000 PM,1.00390625
11/27/2025 5:07:56.902000000 PM,1.01171875
11/27/2025 5:07:56.947000000 PM,1.015625
11/27/2025 5:07:56.986000000 PM,1.0146484375
11/27/2025 5:07:57.028000000 PM,1.0068359375
