date,hall_switch.value
11/27/2025 4:49:52.998000000 PM,0
11/27/2025 4:49:53.037000000 PM,0
11/27/2025 4:49:53.078000000 PM,0
11/27/2025 4:49:53.116000000 PM,0
11/27/2025 4:49:53.159000000 PM,0
11/27/2025 4:49:53.200000000 PM,0
11/27/2025 4:49:53.240000000 PM,0
11/27/2025 4:49:53.282000000 PM,0
11/27/2025 4:49:53.323000000 PM,0
11/27/2025 4:49:53.363000000 PM,0
11/27/2025 4:49:53.410000000 PM,0
11/27/2025 4:49:53.448000000 PM,0
11/27/2025 4:49:53.490000000 PM,0
11/27/2025 4:49:53.532000000 PM,0
11/27/2025 4:49:53.571000000 PM,0
11/27/2025 4:49:53.614000000 PM,0
11/27/2025 4:49:53.652000000 PM,0
11/27/2025 4:49:53.694000000 PM,0
11/27/2025 4:49:53.737000000 PM,0
11/27/2025 4:49:53.776000000 PM,0
11/27/2025 4:49:53.819000000 PM,0
11/27/2025 4:49:53.861000000 PM,0
11/27/2025 4:49:53.899000000 PM,0
11/27/2025 4:49:53.944000000 PM,0
11/27/2025 4:49:53.983000000 PM,0
11/27/2025 4:49:54.024000000 PM,0
11/27/2025 4:49:54.066000000 PM,0
11/27/2025 4:49:54.104000000 PM,0
11/27/2025 4:49:54.146000000 PM,0
11/27/2025 4:49:54.189000000 PM,0
11/27/2025 4:49:54.227000000 PM,0
11/27/2025 4:49:54.270000000 PM,0
11/27/2025 4:49:54.308000000 PM,0
11/27/2025 4:49:54.349000000 PM,0
11/27/2025 4:49:54.391000000 PM,0
11/27/2025 4:49:54.429000000 PM,0
11/27/2025 4:49:54.472000000 PM,0
11/27/2025 4:49:54.511000000 PM,0
11/27/2025 4:49:54.552000000 PM,0
11/27/2025 4:49:54.593000000 PM,0
11/27/2025 4:49:54.632000000 PM,0
11/27/2025 4:49:54.673000000 PM,0
11/27/2025 4:49:54.713000000 PM,0
11/27/2025 4:49:54.754000000 PM,0
11/27/2025 4:49:54.796000000 PM,0
11/27/2025 4:49:54.838000000 PM,0
11/27/2025 4:49:54.880000000 PM,0
11/27/2025 4:49:54.921000000 PM,0
11/27/2025 4:49:54.963000000 PM,0
11/27/2025 4:49:55.004000000 PM,0
11/27/2025 4:49:55.043000000 PM,0
11/27/2025 4:49:55.086000000 PM,0
11/27/2025 4:49:55.127000000 PM,0
11/27/2025 4:49:55.166000000 PM,0
11/27/2025 4:49:55.207000000 PM,0
11/27/2025 4:49:55.249000000 PM,0
11/27/2025 4:49:55.287000000 PM,0
11/27/2025 4:49:55.329000000 PM,0
11/27/2025 4:49:55.371000000 PM,0
11/27/2025 4:49:55.411000000 PM,0
11/27/2025 4:49:55.452000000 PM,0
11/27/2025 4:49:55.491000000 PM,0
11/27/2025 4:49:55.538000000 PM,0
11/27/2025 4:49:55.579000000 PM,0
11/27/2025 4:49:55.619000000 PM,0
11/27/2025 4:49:55.660000000 PM,0
11/27/2025 4:49:55.702000000 PM,0
11/27/2025 4:49:55.745000000 PM,0
11/27/2025 4:49:55.787000000 PM,0
11/27/2025 4:49:55.825000000 PM,0
11/27/2025 4:49:55.867000000 PM,0
11/27/2025 4:49:55.908000000 PM,0
11/27/2025 4:49:55.947000000 PM,0
11/27/2025 4:49:55.990000000 PM,0
11/27/2025 4:49:56.033000000 PM,0
11/27/2025 4:49:56.075000000 PM,0
11/27/2025 4:49:56.116000000 PM,0
11/27/2025 4:49:56.154000000 PM,0
11/27/2025 4:49:56.197000000 PM,0
11/27/2025 4:49:56.239000000 PM,0
11/27/2025 4:49:56.278000000 PM,0
11/27/2025 4:49:56.322000000 PM,0
11/27/2025 4:49:56.362000000 PM,0
11/27/2025 4:49:56.406000000 PM,0
11/27/2025 4:49:56.461000000 PM,0
11/27/2025 4:49:56.499000000 PM,0
11/27/2025 4:49:56.540000000 PM,0
11/27/2025 4:49:56.581000000 PM,0
11/27/2025 4:49:56.619000000 PM,0
11/27/2025 4:49:56.662000000 PM,0
11/27/2025 4:49:56.701000000 PM,0
11/27/2025 4:49:56.743000000 PM,0
11/27/2025 4:49:56.784000000 PM,0
11/27/2025 4:49:56.823000000 PM,0
11/27/2025 4:49:56.865000000 PM,0
11/27/2025 4:49:56.906000000 PM,0
11/27/2025 4:49:56.945000000 PM,0
11/27/2025 4:49:56.988000000 PM,0
11/27/2025 4:49:57.027000000 PM,0
11/27/2025 4:49:57.068000000 PM,0
11/27/2025 4:49:57.111000000 PM,0
11/27/2025 4:49:57.149000000 PM,0
11/27/2025 4:49:57.191000000 PM,0
11/27/2025 4:49:57.233000000 PM,0
11/27/2025 4:49:57.272000000 PM,0
11/27/2025 4:49:57.314000000 PM,0
11/27/2025 4:49:57.352000000 PM,0
11/27/2025 4:49:57.394000000 PM,0
11/27/2025 4:49:57.437000000 PM,0
11/27/2025 4:49:57.477000000 PM,0
11/27/2025 4:49:57.518000000 PM,0
11/27/2025 4:49:57.561000000 PM,0
11/27/2025 4:49:57.599000000 PM,0
11/27/2025 4:49:57.645000000 PM,0
11/27/2025 4:49:57.683000000 PM,0
11/27/2025 4:49:57.725000000 PM,0
11/27/2025 4:49:57.771000000 PM,0
11/27/2025 4:49:57.825000000 PM,0
11/27/2025 4:49:57.875000000 PM,0
11/27/2025 4:49:57.914000000 PM,0
11/27/2025 4:49:57.956000000 PM,0
11/27/2025 4:49:57.998000000 PM,0
11/27/2025 4:49:58.036000000 PM,0
11/27/2025 4:49:58.078000000 PM,0
11/27/2025 4:49:58.117000000 PM,0
11/27/2025 4:49:58.158000000 PM,0
11/27/2025 4:49:58.200000000 PM,0
11/27/2025 4:49:58.239000000 PM,0
11/27/2025 4:49:58.280000000 PM,0
11/27/2025 4:49:58.322000000 PM,0
11/27/2025 4:49:58.360000000 PM,0
11/27/2025 4:49:58.402000000 PM,0
11/27/2025 4:49:58.441000000 PM,0
11/27/2025 4:49:58.482000000 PM,0
11/27/2025 4:49:58.525000000 PM,0
11/27/2025 4:49:58.566000000 PM,0
11/27/2025 4:49:58.608000000 PM,0
11/27/2025 4:49:58.650000000 PM,0
11/27/2025 4:49:58.689000000 PM,0
11/27/2025 4:49:58.730000000 PM,0
11/27/2025 4:49:58.771000000 PM,0
11/27/2025 4:49:58.813000000 PM,0
11/27/2025 4:49:58.854000000 PM,0
11/27/2025 4:49:58.895000000 PM,0
11/27/2025 4:49:58.937000000 PM,0
11/27/2025 4:49:58.978000000 PM,0
11/27/2025 4:49:59.019000000 PM,0
11/27/2025 4:49:59.062000000 PM,0
11/27/2025 4:49:59.101000000 PM,0
11/27/2025 4:49:59.143000000 PM,0
11/27/2025 4:49:59.184000000 PM,0
11/27/2025 4:49:59.223000000 PM,0
11/27/2025 4:49:59.265000000 PM,0
11/27/2025 4:49:59.303000000 PM,0
11/27/2025 4:49:59.345000000 PM,0
11/27/2025 4:49:59.386000000 PM,0
11/27/2025 4:49:59.426000000 PM,0
11/27/2025 4:49:59.468000000 PM,0
11/27/2025 4:49:59.510000000 PM,0
11/27/2025 4:49:59.550000000 PM,0
11/27/2025 4:49:59.592000000 PM,0
11/27/2025 4:49:59.630000000 PM,0
11/27/2025 4:49:59.674000000 PM,0
11/27/2025 4:49:59.715000000 PM,0
11/27/2025 4:49:59.755000000 PM,0
11/27/2025 4:49:59.803000000 PM,0
11/27/2025 4:49:59.845000000 PM,0
11/27/2025 4:49:59.886000000 PM,0
11/27/2025 4:49:59.929000000 PM,0
11/27/2025 4:49:59.968000000 PM,0
11/27/2025 4:50:00.011000000 PM,0
11/27/2025 4:50:00.053000000 PM,0
11/27/2025 4:50:00.092000000 PM,0
11/27/2025 4:50:00.137000000 PM,0
11/27/2025 4:50:00.179000000 PM,0
11/27/2025 4:50:00.217000000 PM,0
11/27/2025 4:50:00.260000000 PM,0
11/27/2025 4:50:00.298000000 PM,0
11/27/2025 4:50:00.341000000 PM,0
11/27/2025 4:50:00.389000000 PM,0
11/27/2025 4:50:00.428000000 PM,0
11/27/2025 4:50:00.471000000 PM,0
11/27/2025 4:50:00.512000000 PM,0
11/27/2025 4:50:00.551000000 PM,0
11/27/2025 4:50:00.594000000 PM,0
11/27/2025 4:50:00.634000000 PM,0
11/27/2025 4:50:00.678000000 PM,0
11/27/2025 4:50:00.720000000 PM,0
11/27/2025 4:50:00.760000000 PM,0
11/27/2025 4:50:00.805000000 PM,0
11/27/2025 4:50:00.847000000 PM,0
11/27/2025 4:50:00.886000000 PM,0
11/27/2025 4:50:00.930000000 PM,0
11/27/2025 4:50:00.969000000 PM,0
11/27/2025 4:50:01.012000000 PM,0
11/27/2025 4:50:01.054000000 PM,0
11/27/2025 4:50:01.092000000 PM,0
11/27/2025 4:50:01.137000000 PM,0
11/27/2025 4:50:01.179000000 PM,0
11/27/2025 4:50:01.217000000 PM,0
11/27/2025 4:50:01.262000000 PM,0
11/27/2025 4:50:01.305000000 PM,0
11/27/2025 4:50:01.344000000 PM,0
11/27/2025 4:50:01.387000000 PM,0
11/27/2025 4:50:01.426000000 PM,0
11/27/2025 4:50:01.468000000 PM,0
11/27/2025 4:50:01.510000000 PM,0
11/27/2025 4:50:01.548000000 PM,0
11/27/2025 4:50:01.591000000 PM,0
11/27/2025 4:50:01.633000000 PM,0
11/27/2025 4:50:01.671000000 PM,0
11/27/2025 4:50:01.714000000 PM,0
11/27/2025 4:50:01.753000000 PM,0
11/27/2025 4:50:01.794000000 PM,0
11/27/2025 4:50:01.837000000 PM,0
11/27/2025 4:50:01.875000000 PM,0
11/27/2025 4:50:01.922000000 PM,0
11/27/2025 4:50:01.964000000 PM,0
11/27/2025 4:50:02.002000000 PM,0
11/27/2025 4:50:02.043000000 PM,0
11/27/2025 4:50:02.081000000 PM,0
11/27/2025 4:50:02.123000000 PM,0
11/27/2025 4:50:02.167000000 PM,0
11/27/2025 4:50:02.205000000 PM,0
11/27/2025 4:50:02.247000000 PM,0
11/27/2025 4:50:02.290000000 PM,0
11/27/2025 4:50:02.329000000 PM,0
11/27/2025 4:50:02.371000000 PM,0
11/27/2025 4:50:02.409000000 PM,0
11/27/2025 4:50:02.451000000 PM,0
11/27/2025 4:50:02.493000000 PM,0
11/27/2025 4:50:02.532000000 PM,0
11/27/2025 4:50:02.576000000 PM,0
11/27/2025 4:50:02.617000000 PM,0
11/27/2025 4:50:02.656000000 PM,0
