date,gy_vibration_g.value
11/27/2025 4:49:52.300000000 PM,1.0087890625
11/27/2025 4:49:52.342000000 PM,1.00390625
11/27/2025 4:49:52.385000000 PM,1.0087890625
11/27/2025 4:49:52.423000000 PM,1.0126953125
11/27/2025 4:49:52.467000000 PM,1.009765625
11/27/2025 4:49:52.505000000 PM,0.98828125
11/27/2025 4:49:52.547000000 PM,0.9853515625
11/27/2025 4:49:52.606000000 PM,1.0126953125
11/27/2025 4:49:52.662000000 PM,1.0205078125
11/27/2025 4:49:52.715000000 PM,1.0029296875
11/27/2025 4:49:52.765000000 PM,1.0048828125
11/27/2025 4:49:52.807000000 PM,1.0068359375
11/27/2025 4:49:52.845000000 PM,1.0107421875
11/27/2025 4:49:52.886000000 PM,1.0166015625
11/27/2025 4:49:52.930000000 PM,1.0087890625
11/27/2025 4:49:52.968000000 PM,1.0107421875
11/27/2025 4:49:53.009000000 PM,1.0107421875
11/27/2025 4:49:53.048000000 PM,1.0087890625
11/27/2025 4:49:53.090000000 PM,1.021484375
11/27/2025 4:49:53.131000000 PM,1
11/27/2025 4:49:53.171000000 PM,1.0087890625
11/27/2025 4:49:53.213000000 PM,1.0087890625
11/27/2025 4:49:53.252000000 PM,1.0078125
11/27/2025 4:49:53.294000000 PM,1.00390625
11/27/2025 4:49:53.335000000 PM,1.033203125
11/27/2025 4:49:53.376000000 PM,1.00390625
11/27/2025 4:49:53.421000000 PM,1.0087890625
11/27/2025 4:49:53.463000000 PM,1.0224609375
11/27/2025 4:49:53.502000000 PM,1.0068359375
11/27/2025 4:49:53.544000000 PM,1.00390625
11/27/2025 4:49:53.583000000 PM,1.0087890625
11/27/2025 4:49:53.626000000 PM,1.01953125
11/27/2025 4:49:53.667000000 PM,1.009765625
11/27/2025 4:49:53.707000000 PM,1
11/27/2025 4:49:53.749000000 PM,1.005859375
11/27/2025 4:49:53.788000000 PM,1.0048828125
11/27/2025 4:49:53.831000000 PM,1.025390625
11/27/2025 4:49:53.873000000 PM,1.0185546875
11/27/2025 4:49:53.912000000 PM,1.0087890625
11/27/2025 4:49:53.956000000 PM,1.0205078125
11/27/2025 4:49:53.997000000 PM,1.0029296875
11/27/2025 4:49:54.036000000 PM,1.0078125
11/27/2025 4:49:54.077000000 PM,1.009765625
11/27/2025 4:49:54.115000000 PM,1.015625
11/27/2025 4:49:54.159000000 PM,1.0078125
11/27/2025 4:49:54.201000000 PM,1.0048828125
11/27/2025 4:49:54.239000000 PM,1.0078125
11/27/2025 4:49:54.281000000 PM,1.00390625
11/27/2025 4:49:54.323000000 PM,1.0078125
11/27/2025 4:49:54.361000000 PM,1.037109375
11/27/2025 4:49:54.403000000 PM,1.013671875
11/27/2025 4:49:54.441000000 PM,1.0048828125
11/27/2025 4:49:54.484000000 PM,1.0048828125
11/27/2025 4:49:54.525000000 PM,1.005859375
11/27/2025 4:49:54.564000000 PM,1.0283203125
11/27/2025 4:49:54.606000000 PM,0.9892578125
11/27/2025 4:49:54.644000000 PM,0.947265625
11/27/2025 4:49:54.685000000 PM,1.0107421875
11/27/2025 4:49:54.726000000 PM,1.01953125
11/27/2025 4:49:54.766000000 PM,0.99609375
11/27/2025 4:49:54.808000000 PM,1.013671875
11/27/2025 4:49:54.853000000 PM,1.0166015625
11/27/2025 4:49:54.891000000 PM,0.98828125
11/27/2025 4:49:54.932000000 PM,1.01953125
11/27/2025 4:49:54.975000000 PM,0.986328125
