date,gx_vibration_g.value
11/27/2025 4:49:52.295000000 PM,0.0068359375
11/27/2025 4:49:52.336000000 PM,0.0146484375
11/27/2025 4:49:52.379000000 PM,0.021484375
11/27/2025 4:49:52.418000000 PM,0.009765625
11/27/2025 4:49:52.461000000 PM,0.001953125
11/27/2025 4:49:52.499000000 PM,-0.00390625
11/27/2025 4:49:52.540000000 PM,0.0078125
11/27/2025 4:49:52.598000000 PM,0.01171875
11/27/2025 4:49:52.655000000 PM,0.0146484375
11/27/2025 4:49:52.707000000 PM,0.01171875
11/27/2025 4:49:52.759000000 PM,0.00390625
11/27/2025 4:49:52.798000000 PM,0.0029296875
11/27/2025 4:49:52.840000000 PM,0.0185546875
11/27/2025 4:49:52.881000000 PM,0.0107421875
11/27/2025 4:49:52.921000000 PM,0.0048828125
11/27/2025 4:49:52.963000000 PM,0.017578125
11/27/2025 4:49:53.004000000 PM,0.017578125
11/27/2025 4:49:53.043000000 PM,0.013671875
11/27/2025 4:49:53.084000000 PM,0.0048828125
11/27/2025 4:49:53.123000000 PM,0.00390625
11/27/2025 4:49:53.165000000 PM,0.013671875
11/27/2025 4:49:53.207000000 PM,0.0087890625
11/27/2025 4:49:53.246000000 PM,0.005859375
11/27/2025 4:49:53.288000000 PM,0.0107421875
11/27/2025 4:49:53.330000000 PM,0.0244140625
11/27/2025 4:49:53.370000000 PM,-0.00390625
11/27/2025 4:49:53.416000000 PM,0.0107421875
11/27/2025 4:49:53.455000000 PM,0.02734375
11/27/2025 4:49:53.497000000 PM,0.0126953125
11/27/2025 4:49:53.539000000 PM,0
11/27/2025 4:49:53.577000000 PM,0.01171875
11/27/2025 4:49:53.620000000 PM,0.0126953125
11/27/2025 4:49:53.661000000 PM,0.01171875
11/27/2025 4:49:53.702000000 PM,0.009765625
11/27/2025 4:49:53.744000000 PM,0.01171875
11/27/2025 4:49:53.783000000 PM,0.0068359375
11/27/2025 4:49:53.825000000 PM,0.01171875
11/27/2025 4:49:53.867000000 PM,0.017578125
11/27/2025 4:49:53.906000000 PM,0.0185546875
11/27/2025 4:49:53.950000000 PM,0.0068359375
11/27/2025 4:49:53.992000000 PM,0.001953125
11/27/2025 4:49:54.030000000 PM,0.01171875
11/27/2025 4:49:54.072000000 PM,0.0185546875
11/27/2025 4:49:54.110000000 PM,0.0166015625
11/27/2025 4:49:54.153000000 PM,0.01171875
11/27/2025 4:49:54.195000000 PM,0.0048828125
11/27/2025 4:49:54.234000000 PM,0
11/27/2025 4:49:54.276000000 PM,0.013671875
11/27/2025 4:49:54.315000000 PM,0.0166015625
11/27/2025 4:49:54.356000000 PM,0.0048828125
11/27/2025 4:49:54.397000000 PM,0.0185546875
11/27/2025 4:49:54.436000000 PM,0.015625
11/27/2025 4:49:54.478000000 PM,0.0087890625
11/27/2025 4:49:54.520000000 PM,0.017578125
11/27/2025 4:49:54.558000000 PM,0.0302734375
11/27/2025 4:49:54.600000000 PM,0.0029296875
11/27/2025 4:49:54.639000000 PM,-0.01171875
11/27/2025 4:49:54.679000000 PM,0.0087890625
11/27/2025 4:49:54.720000000 PM,0.029296875
11/27/2025 4:49:54.760000000 PM,0.0126953125
11/27/2025 4:49:54.802000000 PM,0.0068359375
11/27/2025 4:49:54.848000000 PM,0.001953125
11/27/2025 4:49:54.886000000 PM,0.0048828125
11/27/2025 4:49:54.927000000 PM,0.0234375
11/27/2025 4:49:54.969000000 PM,0.0029296875
11/27/2025 4:49:55.011000000 PM,0.0078125
11/27/2025 4:49:55.053000000 PM,0.0078125
11/27/2025 4:49:55.092000000 PM,0.0009765625
11/27/2025 4:49:55.134000000 PM,0.0146484375
11/27/2025 4:49:55.175000000 PM,0.0107421875
11/27/2025 4:49:55.214000000 PM,0.0166015625
11/27/2025 4:49:55.255000000 PM,0.0107421875
11/27/2025 4:49:55.294000000 PM,0.0205078125
11/27/2025 4:49:55.335000000 PM,0.00390625
11/27/2025 4:49:55.378000000 PM,0.005859375
11/27/2025 4:49:55.417000000 PM,0.0205078125
11/27/2025 4:49:55.459000000 PM,0.0126953125
11/27/2025 4:49:55.499000000 PM,0.00390625
11/27/2025 4:49:55.544000000 PM,0.0166015625
11/27/2025 4:49:55.585000000 PM,0.013671875
11/27/2025 4:49:55.625000000 PM,0.001953125
11/27/2025 4:49:55.667000000 PM,0.037109375
11/27/2025 4:49:55.709000000 PM,0.0185546875
11/27/2025 4:49:55.752000000 PM,0.0126953125
11/27/2025 4:49:55.793000000 PM,0.009765625
11/27/2025 4:49:55.832000000 PM,0.0107421875
11/27/2025 4:49:55.874000000 PM,0.0146484375
11/27/2025 4:49:55.915000000 PM,0.0166015625
11/27/2025 4:49:55.955000000 PM,0.0107421875
11/27/2025 4:49:55.996000000 PM,0.01171875
11/27/2025 4:49:56.042000000 PM,0.0126953125
11/27/2025 4:49:56.081000000 PM,0.0078125
11/27/2025 4:49:56.122000000 PM,0.0185546875
11/27/2025 4:49:56.160000000 PM,0.0078125
11/27/2025 4:49:56.204000000 PM,0.0068359375
11/27/2025 4:49:56.246000000 PM,0.0126953125
11/27/2025 4:49:56.285000000 PM,0.0087890625
11/27/2025 4:49:56.328000000 PM,0.0205078125
11/27/2025 4:49:56.372000000 PM,0.013671875
11/27/2025 4:49:56.412000000 PM,0.0078125
11/27/2025 4:49:56.467000000 PM,0.015625
11/27/2025 4:49:56.506000000 PM,0.0087890625
11/27/2025 4:49:56.546000000 PM,0.013671875
11/27/2025 4:49:56.587000000 PM,0.0107421875
11/27/2025 4:49:56.628000000 PM,0.0107421875
11/27/2025 4:49:56.669000000 PM,0.015625
11/27/2025 4:49:56.710000000 PM,0.015625
11/27/2025 4:49:56.749000000 PM,0.0068359375
11/27/2025 4:49:56.791000000 PM,0.013671875
